image_id,file_name,split,label_status,source,source_url,license,scene,shoot_date,location,quality,notes
VEG_PUBLIC_0001,images/train/VEG_PUBLIC_0001.jpg,train,human_reviewed_auto_label,vegetation_v2_public_auto_refined,,see vegetation_v2_public/sources/public_sources.md,public_forest,unknown,public_web,seed,Accepted as forest overview seed sample; vegetation boundary is usable for Alpha training.
VEG_PUBLIC_0002,images/train/VEG_PUBLIC_0002.jpg,train,human_reviewed_auto_label,vegetation_v2_public_auto_refined,,see vegetation_v2_public/sources/public_sources.md,public_forest,unknown,public_web,seed,Accepted with coarse sky/forest boundary; needs final manual boundary polish later.
VEG_PUBLIC_0003,images/train/VEG_PUBLIC_0003.jpg,train,human_reviewed_auto_label,vegetation_v2_public_auto_refined,,see vegetation_v2_public/sources/public_sources.md,public_forest,unknown,public_web,seed,Accepted as coniferous forest scene; trunk/ground mixing acceptable for seed stage.
VEG_PUBLIC_0007,images/train/VEG_PUBLIC_0007.jpg,train,human_reviewed_auto_label,vegetation_v2_public_auto_refined,,see vegetation_v2_public/sources/public_sources.md,public_forest,unknown,public_web,seed,Accepted augmented forest overview sample.
VEG_PUBLIC_0008,images/train/VEG_PUBLIC_0008.jpg,train,human_reviewed_auto_label,vegetation_v2_public_auto_refined,,see vegetation_v2_public/sources/public_sources.md,public_forest,unknown,public_web,seed,Accepted augmented forest overview with coarse boundary.
VEG_PUBLIC_0009,images/train/VEG_PUBLIC_0009.jpg,train,human_reviewed_auto_label,vegetation_v2_public_auto_refined,,see vegetation_v2_public/sources/public_sources.md,public_forest,unknown,public_web,seed,Accepted augmented coniferous forest sample.
VEG_PUBLIC_0013,images/val/VEG_PUBLIC_0013.jpg,val,human_reviewed_auto_label,vegetation_v2_public_auto_refined,,see vegetation_v2_public/sources/public_sources.md,public_forest,unknown,public_web,seed,Accepted validation sample from forest overview scene.
VEG_PUBLIC_0014,images/val/VEG_PUBLIC_0014.jpg,val,human_reviewed_auto_label,vegetation_v2_public_auto_refined,,see vegetation_v2_public/sources/public_sources.md,public_forest,unknown,public_web,seed,Accepted validation sample with coarse but usable forest boundary.
VEG_PUBLIC_0015,images/val/VEG_PUBLIC_0015.jpg,val,human_reviewed_auto_label,vegetation_v2_public_auto_refined,,see vegetation_v2_public/sources/public_sources.md,public_forest,unknown,public_web,seed,Accepted validation sample from coniferous forest scene.
VEG_PUBLIC_0017,images/test/VEG_PUBLIC_0017.jpg,test,human_reviewed_auto_label,vegetation_v2_public_auto_refined,,see vegetation_v2_public/sources/public_sources.md,public_forest,unknown,public_web,seed,Accepted as hard test sample; aerial boundary remains challenging.
