image_id,file_name,split,label_status,source,source_url,license,scene,shoot_date,location,quality,notes
VEG_PUBLIC_0001,images/train/VEG_PUBLIC_0001.jpg,train,pseudo_label_review_candidate,vegetation_v2_public,,see vegetation_v2_public/sources/public_sources.md,,unknown,public_web,good,Selected from manual review list; issue=Tree/vegetation region mostly covered; boundary needs trimming; next_action=Keep and manually refine boundary
VEG_PUBLIC_0002,images/train/VEG_PUBLIC_0002.jpg,train,pseudo_label_review_candidate,vegetation_v2_public,,see vegetation_v2_public/sources/public_sources.md,,unknown,public_web,medium,Selected from manual review list; issue=Large forest area covered but sky/edge boundary is coarse; next_action=Keep and manually refine boundary
VEG_PUBLIC_0003,images/train/VEG_PUBLIC_0003.jpg,train,pseudo_label_review_candidate,vegetation_v2_public,,see vegetation_v2_public/sources/public_sources.md,,unknown,public_web,good,Selected from manual review list; issue=Forest area mostly covered; trunks/ground mixed with vegetation; next_action=Keep and manually refine boundary
VEG_PUBLIC_0005,images/train/VEG_PUBLIC_0005.jpg,train,pseudo_label_review_candidate,vegetation_v2_public,,see vegetation_v2_public/sources/public_sources.md,,unknown,public_web,medium,Selected from manual review list; issue=Aerial forest region detected but bare land boundary is rough; next_action=Keep and manually refine boundary
VEG_PUBLIC_0007,images/train/VEG_PUBLIC_0007.jpg,train,pseudo_label_review_candidate,vegetation_v2_public,,see vegetation_v2_public/sources/public_sources.md,,unknown,public_web,good,Selected from manual review list; issue=Augmented version of usable forest scene; next_action=Keep and manually refine boundary
VEG_PUBLIC_0008,images/train/VEG_PUBLIC_0008.jpg,train,pseudo_label_review_candidate,vegetation_v2_public,,see vegetation_v2_public/sources/public_sources.md,,unknown,public_web,medium,Selected from manual review list; issue=Augmented forest overview; boundary coarse; next_action=Keep and manually refine boundary
VEG_PUBLIC_0009,images/train/VEG_PUBLIC_0009.jpg,train,pseudo_label_review_candidate,vegetation_v2_public,,see vegetation_v2_public/sources/public_sources.md,,unknown,public_web,good,Selected from manual review list; issue=Augmented coniferous scene; usable for tree class; next_action=Keep and manually refine boundary
VEG_PUBLIC_0011,images/train/VEG_PUBLIC_0011.jpg,train,pseudo_label_review_candidate,vegetation_v2_public,,see vegetation_v2_public/sources/public_sources.md,,unknown,public_web,medium,Selected from manual review list; issue=Aerial forest with rough edge and bare land confusion; next_action=Keep and manually refine boundary
VEG_PUBLIC_0013,images/val/VEG_PUBLIC_0013.jpg,val,pseudo_label_review_candidate,vegetation_v2_public,,see vegetation_v2_public/sources/public_sources.md,,unknown,public_web,good,Selected from manual review list; issue=Augmented usable forest scene; next_action=Keep and manually refine boundary
VEG_PUBLIC_0014,images/val/VEG_PUBLIC_0014.jpg,val,pseudo_label_review_candidate,vegetation_v2_public,,see vegetation_v2_public/sources/public_sources.md,,unknown,public_web,medium,Selected from manual review list; issue=Augmented forest overview; boundary coarse; next_action=Keep and manually refine boundary
VEG_PUBLIC_0015,images/val/VEG_PUBLIC_0015.jpg,val,pseudo_label_review_candidate,vegetation_v2_public,,see vegetation_v2_public/sources/public_sources.md,,unknown,public_web,good,Selected from manual review list; issue=Augmented coniferous scene; usable for tree class; next_action=Keep and manually refine boundary
VEG_PUBLIC_0017,images/test/VEG_PUBLIC_0017.jpg,test,pseudo_label_review_candidate,vegetation_v2_public,,see vegetation_v2_public/sources/public_sources.md,,unknown,public_web,medium,Selected from manual review list; issue=Aerial forest with rough edge and bare land confusion; next_action=Keep and manually refine boundary
